created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 02:00:22 IST,1,29.60,63.60,90.97,,,,
2019-11-07 02:00:44 IST,2,29.60,65.20,91.54,,,,
2019-11-07 02:01:07 IST,3,29.70,65.40,91.99,,,,
2019-11-07 02:01:29 IST,4,29.60,65.20,91.54,,,,
2019-11-07 02:01:53 IST,5,29.60,65.30,91.58,,,,
2019-11-07 02:02:17 IST,6,29.60,65.30,91.58,,,,
2019-11-07 02:02:39 IST,7,29.60,65.40,91.61,,,,
2019-11-07 02:03:02 IST,8,29.60,65.40,91.61,,,,
2019-11-07 02:03:25 IST,9,29.70,65.40,91.99,,,,
2019-11-07 02:03:50 IST,10,29.70,65.40,91.99,,,,
2019-11-07 02:04:48 IST,11,29.70,65.40,91.99,,,,
2019-11-07 02:05:10 IST,12,29.70,65.40,91.99,,,,
2019-11-07 02:05:33 IST,13,29.70,64.60,91.69,,,,
2019-11-07 02:05:55 IST,14,29.70,64.40,91.62,,,,
2019-11-07 02:06:18 IST,15,29.70,64.20,91.55,,,,
2019-11-07 02:06:41 IST,16,29.60,64.00,91.11,,,,
2019-11-07 02:07:03 IST,17,29.50,63.80,90.68,,,,
2019-11-07 02:07:26 IST,18,29.50,63.80,90.68,,,,
2019-11-07 02:07:48 IST,19,29.40,63.80,90.33,,,,
2019-11-07 02:10:15 IST,20,29.40,61.60,89.61,,,,
2019-11-07 02:10:37 IST,21,29.40,63.30,90.16,,,,
2019-11-07 02:11:01 IST,22,29.40,63.30,90.16,,,,
2019-11-07 02:11:23 IST,23,29.50,63.30,90.51,,,,
2019-11-07 02:12:17 IST,24,29.50,61.70,89.98,,,,
2019-11-07 02:12:40 IST,25,29.50,63.50,90.58,,,,
2019-11-07 02:13:02 IST,26,29.40,63.30,90.16,,,,
2019-11-07 02:13:25 IST,27,29.40,63.30,90.16,,,,
2019-11-07 02:13:49 IST,28,29.60,63.40,90.90,,,,
2019-11-07 02:14:31 IST,29,29.70,61.10,90.46,,,,
2019-11-07 02:14:53 IST,30,29.70,62.90,91.08,,,,
2019-11-07 02:15:16 IST,31,29.70,62.70,91.01,,,,
2019-11-07 02:15:38 IST,32,29.70,62.70,91.01,,,,
2019-11-07 02:16:01 IST,33,29.80,62.70,91.37,,,,
2019-11-07 02:16:24 IST,34,29.70,62.70,91.01,,,,
2019-11-07 02:16:47 IST,35,29.70,62.80,91.05,,,,
2019-11-07 02:17:12 IST,36,29.70,62.90,91.08,,,,
2019-11-07 02:17:56 IST,37,29.60,61.30,90.18,,,,
2019-11-07 02:18:18 IST,38,29.60,63.10,90.80,,,,
2019-11-07 02:18:41 IST,39,29.60,63.20,90.83,,,,
2019-11-07 02:19:06 IST,40,29.60,63.30,90.87,,,,
2019-11-07 02:19:29 IST,41,29.60,63.40,90.90,,,,
2019-11-07 02:19:52 IST,42,29.60,63.40,90.90,,,,
2019-11-07 02:20:15 IST,43,29.50,63.30,90.51,,,,
2019-11-07 02:20:38 IST,44,29.50,63.40,90.55,,,,
2019-11-07 02:21:00 IST,45,29.50,63.40,90.55,,,,
2019-11-07 02:21:23 IST,46,29.50,63.40,90.55,,,,
2019-11-07 02:21:46 IST,47,29.50,63.40,90.55,,,,
2019-11-07 02:22:58 IST,48,29.50,62.00,90.08,,,,
2019-11-07 02:23:21 IST,49,29.50,63.80,90.68,,,,
2019-11-07 02:23:43 IST,50,29.60,63.40,90.90,,,,
2019-11-07 02:24:10 IST,51,29.60,63.30,90.87,,,,
2019-11-07 02:24:33 IST,52,29.60,63.30,90.87,,,,
2019-11-07 02:24:54 IST,53,29.70,62.40,90.91,,,,
2019-11-07 02:25:16 IST,54,29.70,64.20,91.55,,,,
2019-11-07 02:25:39 IST,55,29.80,63.10,91.51,,,,
2019-11-07 02:26:02 IST,56,29.80,62.60,91.33,,,,
2019-11-07 02:26:24 IST,57,29.80,62.60,91.33,,,,
2019-11-07 02:26:47 IST,58,29.70,62.70,91.01,,,,
2019-11-07 02:27:13 IST,59,29.70,62.90,91.08,,,,
2019-11-07 02:27:35 IST,60,29.60,63.10,90.80,,,,
2019-11-07 02:27:58 IST,61,29.60,63.40,90.90,,,,
2019-11-07 02:28:21 IST,62,29.60,63.40,90.90,,,,
2019-11-07 02:28:43 IST,63,29.60,63.30,90.87,,,,
2019-11-07 02:29:08 IST,64,29.60,63.30,90.87,,,,
2019-11-07 02:29:30 IST,65,29.70,63.30,91.22,,,,
2019-11-07 02:29:53 IST,66,29.70,63.00,91.12,,,,
2019-11-07 02:30:18 IST,67,29.70,62.70,91.01,,,,
2019-11-07 02:30:41 IST,68,29.70,62.70,91.01,,,,
2019-11-07 02:31:04 IST,69,29.60,62.50,90.59,,,,
2019-11-07 02:31:27 IST,70,29.60,62.60,90.62,,,,
2019-11-07 02:31:49 IST,71,29.60,62.70,90.66,,,,
2019-11-07 02:32:17 IST,72,29.60,62.80,90.69,,,,
2019-11-07 02:32:39 IST,73,29.60,63.00,90.76,,,,
2019-11-07 02:33:02 IST,74,29.50,62.90,90.38,,,,
2019-11-07 02:33:25 IST,75,29.50,63.00,90.41,,,,
2019-11-07 02:33:50 IST,76,29.50,63.00,90.41,,,,
2019-11-07 02:34:16 IST,77,29.50,63.00,90.41,,,,
2019-11-07 02:34:39 IST,78,29.60,63.20,90.83,,,,
2019-11-07 02:35:01 IST,79,29.60,63.20,90.83,,,,
2019-11-07 02:35:24 IST,80,29.60,63.20,90.83,,,,
2019-11-07 02:35:49 IST,81,29.60,63.20,90.83,,,,
2019-11-07 02:36:13 IST,82,29.60,63.20,90.83,,,,
