created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-11-17 21:26:14 IST,1,76.00,83.60,,,,
2019-11-17 21:26:33 IST,2,75.90,83.50,,,,
2019-11-17 21:26:53 IST,3,74.10,81.80,,,,
2019-11-17 21:37:51 IST,4,69.60,77.10,,,,
2019-11-17 21:38:51 IST,5,39.80,43.90,,,,
2019-11-17 21:39:11 IST,6,66.80,74.60,,,,
2019-11-17 21:39:30 IST,7,0.00,0.00,,,,
2019-11-17 21:39:50 IST,8,74.20,82.60,,,,
2019-11-17 21:40:09 IST,9,73.40,81.50,,,,
2019-11-17 21:40:29 IST,10,73.80,81.00,,,,
2019-11-17 21:40:48 IST,11,75.40,83.00,,,,
2019-11-17 21:41:08 IST,12,73.40,81.30,,,,
2019-11-17 21:41:28 IST,13,72.20,79.80,,,,
2019-11-17 21:41:48 IST,14,72.50,80.20,,,,
2019-11-17 21:42:08 IST,15,73.00,80.50,,,,
2019-11-17 21:42:31 IST,16,71.10,78.20,,,,
2019-11-17 21:43:00 IST,17,76.30,84.30,,,,
2019-11-17 21:43:21 IST,18,90.00,100.60,,,,
2019-11-17 21:43:44 IST,19,92.40,102.60,,,,
2019-11-17 21:44:04 IST,20,96.60,108.40,,,,
2019-11-17 21:44:23 IST,21,90.70,101.20,,,,
2019-11-17 21:44:43 IST,22,84.30,94.00,,,,
2019-11-17 21:45:03 IST,23,71.20,78.40,,,,
2019-11-17 21:58:01 IST,24,68.70,75.20,,,,
2019-11-17 21:58:29 IST,25,0.00,0.00,,,,
2019-11-17 21:58:47 IST,26,65.90,72.50,,,,
2019-11-17 21:59:06 IST,27,67.50,74.80,,,,
2019-11-17 21:59:24 IST,28,62.80,69.40,,,,
2019-11-17 21:59:45 IST,29,60.80,66.70,,,,
2019-11-17 22:00:04 IST,30,61.90,68.20,,,,
2019-11-17 22:00:22 IST,31,60.30,66.20,,,,
2019-11-17 22:00:41 IST,32,56.20,61.40,,,,
2019-11-17 22:00:59 IST,33,57.20,62.90,,,,
2019-11-17 22:01:18 IST,34,58.20,64.20,,,,
2019-11-17 22:01:36 IST,35,59.60,65.40,,,,
2019-11-17 22:01:57 IST,36,58.90,64.50,,,,
2019-11-17 22:02:16 IST,37,66.60,73.40,,,,
2019-11-17 22:02:35 IST,38,85.30,94.60,,,,
