created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-11-11 03:27:27 IST,106,1.00,401.00,,,,
2019-11-11 03:27:52 IST,107,1.00,401.00,,,,
2019-11-11 03:28:16 IST,108,1.00,401.00,,,,
2019-11-11 03:28:45 IST,109,1.00,401.00,,,,
2019-11-11 03:29:09 IST,110,1.00,401.00,,,,
2019-11-11 03:29:34 IST,111,1.00,400.00,,,,
2019-11-11 03:29:59 IST,112,1.00,401.00,,,,
2019-11-11 03:30:24 IST,113,1.00,401.00,,,,
2019-11-11 03:30:48 IST,114,1.00,401.00,,,,
2019-11-11 03:31:12 IST,115,1.00,401.00,,,,
2019-11-11 03:31:36 IST,116,1.00,401.00,,,,
2019-11-11 03:32:02 IST,117,1.00,401.00,,,,
2019-11-11 03:32:29 IST,118,1.00,401.00,,,,
2019-11-11 03:32:54 IST,119,1.00,401.00,,,,
2019-11-11 03:33:19 IST,120,1.00,401.00,,,,
2019-11-11 03:33:47 IST,121,1.00,401.00,,,,
2019-11-11 03:34:12 IST,122,1.00,400.00,,,,
2019-11-11 03:34:43 IST,123,1.00,401.00,,,,
2019-11-11 03:35:07 IST,124,1.00,401.00,,,,
2019-11-11 03:35:32 IST,125,1.00,401.00,,,,
2019-11-11 03:35:59 IST,126,1.00,401.00,,,,
2019-11-11 03:36:26 IST,127,1.00,401.00,,,,
2019-11-11 03:36:57 IST,128,1.00,401.00,,,,
2019-11-11 03:37:24 IST,129,1.00,401.00,,,,
2019-11-11 03:37:48 IST,130,1.00,401.00,,,,
2019-11-11 03:38:12 IST,131,1.00,401.00,,,,
2019-11-11 03:38:39 IST,132,1.00,401.00,,,,
2019-11-11 03:39:07 IST,133,1.00,400.00,,,,
2019-11-11 03:39:34 IST,134,1.00,401.00,,,,
2019-11-11 03:40:02 IST,135,1.00,401.00,,,,
2019-11-11 03:40:30 IST,136,1.00,401.00,,,,
2019-11-11 03:40:56 IST,137,1.00,401.00,,,,
2019-11-11 03:41:23 IST,138,1.00,401.00,,,,
2019-11-11 03:41:51 IST,139,1.00,401.00,,,,
2019-11-11 03:42:18 IST,140,1.00,401.00,,,,
2019-11-11 03:42:46 IST,141,1.00,401.00,,,,
2019-11-11 03:43:12 IST,142,1.00,401.00,,,,
2019-11-11 03:43:37 IST,143,1.00,401.00,,,,
2019-11-11 03:44:09 IST,144,1.00,400.00,,,,
2019-11-11 03:44:35 IST,145,1.00,401.00,,,,
2019-11-11 03:45:02 IST,146,1.00,401.00,,,,
2019-11-11 03:45:33 IST,147,1.00,401.00,,,,
2019-11-11 03:45:58 IST,148,1.00,401.00,,,,
2019-11-11 03:46:23 IST,149,1.00,401.00,,,,
2019-11-11 03:46:52 IST,150,1.00,401.00,,,,
2019-11-11 03:47:19 IST,151,1.00,401.00,,,,
2019-11-11 03:47:44 IST,152,1.00,401.00,,,,
2019-11-11 03:48:09 IST,153,1.00,401.00,,,,
2019-11-11 03:48:37 IST,154,1.00,401.00,,,,
2019-11-11 03:49:02 IST,155,1.00,400.00,,,,
2019-11-11 03:49:28 IST,156,1.00,401.00,,,,
2019-11-11 03:49:58 IST,157,1.00,401.00,,,,
2019-11-11 03:50:23 IST,158,1.00,401.00,,,,
2019-11-11 03:50:48 IST,159,1.00,401.00,,,,
2019-11-11 03:51:14 IST,160,1.00,401.00,,,,
2019-11-11 03:51:38 IST,161,1.00,401.00,,,,
2019-11-11 03:52:04 IST,162,1.00,401.00,,,,
2019-11-11 03:52:31 IST,163,1.00,401.00,,,,
2019-11-11 03:53:01 IST,164,1.00,401.00,,,,
2019-11-11 03:53:29 IST,165,1.00,401.00,,,,
2019-11-11 03:53:54 IST,166,1.00,400.00,,,,
2019-11-11 03:54:19 IST,167,1.00,401.00,,,,
2019-11-11 03:54:49 IST,168,1.00,401.00,,,,
2019-11-11 03:55:15 IST,169,1.00,401.00,,,,
2019-11-11 03:55:41 IST,170,1.00,401.00,,,,
2019-11-11 03:56:08 IST,171,1.00,401.00,,,,
2019-11-11 03:56:33 IST,172,1.00,401.00,,,,
2019-11-11 03:56:58 IST,173,1.00,401.00,,,,
2019-11-11 03:57:25 IST,174,1.00,401.00,,,,
2019-11-11 03:57:50 IST,175,1.00,401.00,,,,
2019-11-11 03:58:18 IST,176,1.00,400.00,,,,
2019-11-11 03:58:45 IST,177,1.00,401.00,,,,
2019-11-11 03:59:13 IST,178,1.00,401.00,,,,
2019-11-11 03:59:38 IST,179,1.00,401.00,,,,
2019-11-11 04:00:03 IST,180,1.00,401.00,,,,
2019-11-11 04:00:29 IST,181,1.00,401.00,,,,
2019-11-11 04:00:54 IST,182,1.00,401.00,,,,
2019-11-11 04:01:24 IST,183,1.00,401.00,,,,
2019-11-11 04:01:51 IST,184,1.00,401.00,,,,
2019-11-11 04:02:16 IST,185,1.00,401.00,,,,
2019-11-11 04:02:41 IST,186,1.00,401.00,,,,
2019-11-11 04:03:08 IST,187,1.00,400.00,,,,
2019-11-11 04:03:36 IST,188,1.00,401.00,,,,
2019-11-11 04:04:01 IST,189,1.00,401.00,,,,
2019-11-11 04:04:30 IST,190,1.00,401.00,,,,
2019-11-11 04:04:54 IST,191,1.00,401.00,,,,
2019-11-11 04:05:20 IST,192,1.00,401.00,,,,
2019-11-11 04:05:46 IST,193,1.00,401.00,,,,
2019-11-11 04:06:11 IST,194,1.00,401.00,,,,
2019-11-11 04:06:36 IST,195,1.00,401.00,,,,
2019-11-11 04:07:07 IST,196,1.00,401.00,,,,
2019-11-11 04:07:33 IST,197,1.00,401.00,,,,
2019-11-11 04:07:57 IST,198,1.00,400.00,,,,
2019-11-11 04:08:22 IST,199,1.00,401.00,,,,
2019-11-11 04:08:49 IST,200,1.00,401.00,,,,
2019-11-11 04:09:16 IST,201,1.00,401.00,,,,
2019-11-11 04:09:40 IST,202,1.00,401.00,,,,
2019-11-11 04:10:07 IST,203,1.00,401.00,,,,
2019-11-11 04:10:33 IST,204,1.00,401.00,,,,
2019-11-11 04:10:59 IST,205,1.00,401.00,,,,
2019-11-11 04:11:26 IST,206,1.00,401.00,,,,
2019-11-11 04:11:51 IST,207,1.00,401.00,,,,
2019-11-11 04:12:19 IST,208,1.00,401.00,,,,
2019-11-11 04:12:47 IST,209,1.00,400.00,,,,
2019-11-11 04:13:12 IST,210,1.00,401.00,,,,
2019-11-11 04:13:37 IST,211,1.00,401.00,,,,
2019-11-11 04:14:05 IST,212,1.00,401.00,,,,
2019-11-11 04:14:30 IST,213,1.00,401.00,,,,
2019-11-11 04:14:55 IST,214,1.00,401.00,,,,
2019-11-11 04:15:25 IST,215,1.00,401.00,,,,
2019-11-11 04:15:51 IST,216,1.00,401.00,,,,
2019-11-11 04:16:16 IST,217,1.00,401.00,,,,
2019-11-11 04:16:43 IST,218,1.00,401.00,,,,
2019-11-11 04:17:08 IST,219,1.00,401.00,,,,
2019-11-11 04:17:33 IST,220,1.00,400.00,,,,
2019-11-11 04:17:59 IST,221,1.00,401.00,,,,
2019-11-11 04:18:24 IST,222,1.00,401.00,,,,
2019-11-11 04:18:49 IST,223,1.00,401.00,,,,
2019-11-11 04:19:15 IST,224,1.00,401.00,,,,
2019-11-11 04:19:41 IST,225,1.00,401.00,,,,
2019-11-11 04:20:06 IST,226,1.00,401.00,,,,
2019-11-11 04:20:33 IST,227,1.00,401.00,,,,
2019-11-11 04:20:59 IST,228,1.00,401.00,,,,
2019-11-11 04:21:24 IST,229,1.00,401.00,,,,
2019-11-11 04:21:53 IST,230,1.00,401.00,,,,
2019-11-11 04:22:18 IST,231,1.00,400.00,,,,
2019-11-11 04:22:44 IST,232,1.00,401.00,,,,
2019-11-11 04:23:11 IST,233,1.00,401.00,,,,
2019-11-11 04:23:38 IST,234,1.00,401.00,,,,
2019-11-11 04:24:10 IST,235,1.00,401.00,,,,
2019-11-11 04:24:37 IST,236,1.00,401.00,,,,
2019-11-11 04:25:01 IST,237,1.00,401.00,,,,
2019-11-11 04:25:27 IST,238,1.00,401.00,,,,
2019-11-11 04:25:54 IST,239,1.00,401.00,,,,
2019-11-11 04:26:19 IST,240,1.00,401.00,,,,
2019-11-11 04:26:44 IST,241,1.00,401.00,,,,
2019-11-11 04:27:15 IST,242,1.00,400.00,,,,
2019-11-11 04:27:41 IST,243,1.00,401.00,,,,
2019-11-11 04:28:06 IST,244,1.00,401.00,,,,
2019-11-11 04:28:36 IST,245,1.00,401.00,,,,
2019-11-11 04:29:02 IST,246,1.00,401.00,,,,
2019-11-11 04:29:28 IST,247,1.00,401.00,,,,
2019-11-11 04:29:58 IST,248,1.00,401.00,,,,
2019-11-11 04:30:27 IST,249,1.00,401.00,,,,
2019-11-11 04:31:30 IST,250,1.00,401.00,,,,
